Symbol	Description
EWL	Ishares Msci Switzerland Index Fund
EWM	Ishares Msci Malaysia Index Fund
EWN	Ishares Msci Netherlands Index Fund
EWO	iShares MSCI Austria Index Fund
EWP	Ishares Msci Spain Index Fund
EWQ	iShares MSCI France Index Fund
EWRI	Rydex Russell 1000 Equal Weight
EWRM	Rydex Russell Midcap Equal Weig
EWRS	Rydex Russell 2000 Equal Weight
EWS	Ishares Msci Singapore Index Fund
EWT	Ishares Msci Taiwan Index Fund
EWU	Ishares Msci United Kingdom Index Fund
EWV	ProShares Trust
EWW	iShares MSCI Mexico Index Fund
EWX	SPDR Index Fund
EWY	Ishares Msci South Korea Index Fund
EWZ	Ishares Msci Brazil Index Fund
EWZS	iShares MSCI Brazil Small Cap I
EXI	ISHARES S& P GLOBAL
EXK	Endeavour Silver Corporation
EXT	WisdomTree Trust
EZA	Ishares Msci South Africa Index Fund
EZJ	PROSHARES JAPAN
EZM	WisdomTree Trust
EZU	iShares MSCI EMU Index Fund
EZY	WisdomTree Trust
FAA	CLAYMORE AIRLINE ETF
FAB	First Trust Exchange-Traded Fund
FAD	First Trust Exchange-Traded Fund
FAN	FIRST TRUST ISE GLBL
FAS	FINANCIAL BULL 3X
FAX	Aberdeen Asia-Pacific Income Fund Inc
FAZ	FINANCIAL BEAR 3X
FBT	First Trust Amex  Biotechnology Index Fund
FCG	FT ISE REVERE NAT GS
FCGL	Natural Gas Bull 2x Shares
FCGS	Natural Gas Bear 2x Shares
FCO	Aberdeen Global Income Fund Inc.
FCV	FAITHSHARES CATHOLIC
FDD	First Trust Exchange-Traded Fund II
FDL	First Trust Morningstar Dividend Leaders Index Fund
FDM	First Trust Dow Jones Select MicroCap Index(sm) Fund
FDN	First Trust Dow Jones Internet Indexsm Fund
FDV	First Trust DB Strategic Value Index Fund
FEN	Energy Income and Growth Fund
FEU	Fresco Dj Stoxx 50
FEX	First Trust Exchange-Traded Fund
FEZ	Fresco Dj Euro Stoxx 50
FFI	Fortune Diversified Industries Inc.
FFR	First Trust Exchange-Traded Fund II
FGD	First Trust Exchange-Traded Fund II
FIO	ISHS FTS NRT I/O IDX
FIVZ	3-7 Year U.S. Treasury Index Etf
FIW	FT ISE WATER INDEX
FKL	Franklin Capital Corporation
FLAT	iPath US Treasury Flattener ETN
FLL	Full House Resorts Inc.
FLM	FIRST TRUST ISE GLBL
FLYX	Direxion Airline Shares
FMV	FAITHSHARES METHODIS
FNI	FT ISE CHINDIA IDX
FNX	First Trust Exchange-Traded Fund
FOC	FAITHSHARES CHRISTIA
FOH	Frederick's of Hollywood Group
FOL	MORGAN STANLEY
FPP	FieldPoint Petroleum Corporation
FPX	First Trust IPOX-100 Index Fund
FRD	Friedman Industries Inc.
FRG	Fronteer Gold Inc.
FRI	First Trust S&P REIT Index Fund
FRN	Friendly Ice Cream Corporation
FRS	Frisch's Restaurants Inc.
FSI	Flexible Solutions International Inc.
FSP	Franklin Street Properties Corp.
FTA	First Trust Exchange-Traded Fund
FTC	First Trust Exchange-Traded Fund
FTF	Franklin Templeton Limited Duration Income Trust
FTY	ISHS FTS NRT RE 50
FUD	E-TRACS UBS BLOOMBER
