Symbol	Description
CUF.DB.C.TO	Cominar Real Estate Investment T
CUF.DB.D.TO	Cominar Reit 6.5% Db
CUF.DB.E.TO	Cominar Reit 5.75 Db
CUF.UN.TO	Cominar Real Estat Trust Units
CUM.TO	Copper Mountain Mining Corp
CUP.U.TO	Caribbean Utilties 'A'Usd0.05
CUQ.TO	Churchill Corp Com Npv
CUQ.DB.TO	The Churchill Corp 6.0 Debs
CUR.TO	Diagnocure Inc Com Npv
CUS.DB.TO	Canexus Income Fund
CUS.DB.A.TO	Canexus Incm 5.75 Db
CUS.UN.TO	Canexus Income Fd Trust Units
CVE.TO	Cenovus Energy Inc
CVG.TO	Clairvest Group Com Npv
CVI.A.TO	Calvalley Petroleu Com Npv
CVL.TO	Cervus Equip Corp
CVT.TO	Cvtech Group Inc Com Npv
CWA.TO	Coast Whsl Appliances Inc
CWB.TO	Cdn Western Bank Com Npv
CWB.PR.A.TO	CANADIAN WESTN BK
CWB.WT.TO	Canadian Western Bank
CWF.TO	Canadian World Fund Ltd
CWG.TO	Craig Wireless Systems Ltd
CWH.TO	Chartwell Technolo Com Npv
CWL.TO	Caldwell Partners International
CWO.TO	Claymore Broad Emerging Mkts
CWO.A.TO	Claymore Broad Emerging Mkts
CWT.DB.A.TO	Calloway Real Estate Investment
CWT.DB.B.TO	Calloway Reit 5.75Db
