Symbol	Description
G92.SI	China Aviation Oil(s) Corp Ltd
G9QW.SI	Ellipsiz Ltd W120120
GB4W.SI	Tat Hong Holdings Ltd W130802
GD2W.SI	China Auto Corp Ltd. W130806
GG0.SI	Ocbccapcorp(2008) 5.1%ncps 100
GG7.SI	Hai Leck Holdings Limited
GH3.SI	Qian Feng Fabric Tech Limited
GJ8.SI	Dukang Distillers Hldgs Ltd
GL8.SI	Uob 5.05%ncps 100
GP3W.SI	Metro Holdings Limited W110922
GR2W.SI	Second Chance Prop W130927
GU5.SI	China Kunda Tech Holdings Ltd
GU9W.SI	Cosco Corp Bnp Ecw110308
GV3W.SI	Manhattan Resources Ltdw110409
GY5W.SI	Singapore Exchangebnpecw110228
GY7W.SI	Ocbc Bk Bnp Ecw110307
GZ9.SI	Stx Pan Ocean Co., Ltd.
H02.SI	Haw Par Corp Ltd
H06.SI	Hor Kew Corporation Limited
H07.SI	Stamford Land Corporation Ltd
H12.SI	Hotel Royal Ltd
H13.SI	Ho Bee Investment Limited
H15.SI	Hotel Properties Ltd
H16.SI	Huan Hsin Holdings Ltd
H17.SI	Hi-p International Limited
H18.SI	Hotel Grand Central Ltd
H19.SI	Hwa Hong Corporation Limited
H1M.SI	Lyxor Etf Eastern Europe 10
H1N.SI	Lyxor Etf Msci Emerging Mkt 10
H1O.SI	Lyxoretf Msci Em Latin America
H1P.SI	Lyxor Etf Msci World 10
H1Q.SI	Lyxor Etf Nasdaq100 10
H20.SI	Hoe Leong Corporation Ltd.
H22.SI	Hong Leong Asia Ltd.
H23.SI	Eunetworks Group Limited
H27.SI	Hlh Group Limited
H28.SI	Hersing Corporation Ltd
H2PW.SI	Transpac Industrial W120511
H30.SI	Hong Fok Corporation Ltd
H34.SI	Hotung Investment Hldgs Ltd
H3IW.SI	Dbs Mbl Ecw110502
H3JW.SI	Cosco Corp Mbl Ecw110502
H49.SI	Pan Pacific Hotels Grp Limited
H64.SI	Htl Int'l Holdings Limited
H73.SI	Hupsteel Ltd
H78.SI	Hongkong Land Holdings Limited
H7BW.SI	Saizen Reit W120602
H7YB.SI	Wbl Corporation 2.5%cb140610
H80.SI	Hongwei Technologies Limited
HA2W.SI	Uob Bnp Ecw110418
HA3W.SI	Singtel Bnp Ecw110411
HC8W.SI	Capitaland Bnp Ecw110613
HD6.SI	Dbxt S&p 500 Short Etf 10
HD7.SI	Dbxt Msci Taiwan Etf 10
HD8.SI	Dbxt Ft China 25 Etf 10
HD9.SI	Dbxt Ftse Vietnam Etf 10
HE0.SI	Dbxt S&p Cnx Nifty Etf 10
HI3B.SI	United Engineers 1% Cb140303
HJ5W.SI	Singtel Mbl Ecw110404
HJ6W.SI	Dbs Mbl Ecw110404
HJ7W.SI	Uob Mbl Ecw110404
HL6W.SI	Dbs Bnp Ecw111028
HQ9W.SI	Bukit Sembawang Est Ltdw110408
HS3W.SI	Singapore Exchangemblecw110404
HS8W.SI	Ksh Holdings Limited W120402
i03.SI	Informatics Education Ltd.
i04.SI	Xpress Holdings Ltd
i05.SI	Idt Holdings (singapore) Ltd
i06.SI	Intraco Limited
i07.SI	Isdn Holdings Limited
i11.SI	Ipco Int'l Limited
I12.SI	Ipc Corporation Limited
i14.SI	Internet Technology Grp Ltd
i15.SI	Isetan (singapore) Ltd
I17.SI	Ishares S&p500 Ivv 10
I19.SI	Ishares Msci Singapore Ews 100
I21.SI	Ishares Dj Us Tech Iyw 10
i26.SI	Inno-pacific Holdings Ltd
I3KW.SI	Compactmetalindustries W120223
I3L.SI	Passion Holdings Limited
i49.SI	Ifs Capital Limited
I4FW.SI	Global Yellow Pages W140910
I4U.SI	China Gaoxian Fibrefab Hldgltd
I54.SI	Fabchem China Limited
I5GW.SI	Rowsley Ltd W120921
I5H.SI	Great Group Holdings Limited
I85.SI	Hengxin Technology Ltd.
I98.SI	Is Msci India 100
I9GW.SI	Capitaland Bnp Ecw120109
I9HW.SI	Dbs Bnp Ecw120206
I9IW.SI	Ocbc Bk Bnp Ecw120305
I9JW.SI	Singapore Exchangebnpecw120206
I9KW.SI	Uob Bnp Ecw120116
I9T.SI	Ziwo Holdings Ltd.
IH0.SI	Dbxt Euro Stoxx 50 Etf 10
IH1.SI	Dbxt Msci Asia Ex Japan Etf 10
IH2.SI	Dbxt Msci Korea Etf 10
IH3.SI	Dbxt Msci Europe Etf 10
IH4.SI	Dbxt Usd Money Market Etf 5
IL4W.SI	Singapore Exchangemblecw110901
IL5W.SI	Golden Agri-resources Ew120723
IL6W.SI	Dbs Mbl Ecw111003
IU3W.SI	Pacific Andes Res Dev W110722
IW5.SI	Seroja Investments Limited
IX2.SI	Pec Ltd.
IX9W.SI	Ks Energy Services Ltd W110805
J01Z.SI	Jtc S$200m4.826%n121024
J03.SI	Jadason Enterprises Ltd
J0M.SI	Dbxt Msci Emerging Mkts Etf 10
J0N.SI	Dbxt Msci Emg Mkts Asia Etf 10
J0O.SI	Dbxt Msci Brazil Trn Etf 10
J0P.SI	Dbxt Msci World Trn Etf 10
J0Q.SI	Dbxt Msci Pacific Exjap Etf 10
J0R.SI	Dbxt Msci Russia Cap 25 Etf 10
J0S.SI	Dbxt Dblci-oy Balanced Etf 5
J10.SI	Jaya Holdings Ltd
J11.SI	Jacks International Limited
J13.SI	Jk Yaming Int'l Hldgs Ltd
J15.SI	Juken Technology Limited
J16.SI	Jel Corporation (holdings) Ltd
J17.SI	Jackspeed Corporation Limited
J18.SI	China Jishan Holdings Limited
J19.SI	Jets Technics Intl Hldgs Ltd
J1KW.SI	Goodpack Limited W121130
J2T.SI	Hock Lian Seng Holdings Ltd
J2UW.SI	Genting Sin Mbl Ecw120402
J36.SI	Jardine Matheson Hldgs Ltd
J37.SI	Jardine Strategic Hldgs Ltd
J68W.SI	Guangzhao Ind Forest W110628
J69U.SI	Frasers Centrepoint Trust
J6WW.SI	Enviro-hub Holdings Ltdw121229
